,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
54,Riyadh,   حي الياسمين ,North,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000
55,Riyadh,   حي ظهرة لبن ,Northwest,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000
57,Riyadh,   حي الروضة ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
58,Riyadh,   حي النرجس ,Northeast,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000
59,Riyadh,   حي العقيق ,North,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000
60,Riyadh,   حي العليا ,North,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000
61,Riyadh,   حي عكاظ ,East,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
62,Riyadh,   حي الورود ,West,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000
63,Riyadh,   حي النرجس ,Northeast,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000
64,Riyadh,   حي المونسية ,East,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000
65,Riyadh,   حي الروضة ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
66,Riyadh,   حي الملقا ,South,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000
67,Riyadh,   حي العارض ,East,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000
68,Riyadh,   حي الفيحاء ,Northwest,650,5,7,5,3,1,1,0,1,0,1,1,1,1,1,0,1,0,1,120000
69,Riyadh,   حي النموذجية ,Northeast,900,4,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,300000
70,Riyadh,   حي المونسية ,South,360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000
